Comment,Designator,Footprint,LCSC,Quantity
10,"R16,R19,R24",R_0402_1005Metric,C25077,3
100k,"R10,R11,R13,R14",R_0402_1005Metric,C25741,4
100n,"C14,C25,C8,C9",C_0402_1005Metric,C1525,4
100n,"C31,C32,C35,C36",C_0805_2012Metric,C49678,4
10k,"R35,R5,R7,R8",R_0805_2012Metric,C17414,4
10k,"R12,R17,R18,R22,R23",R_0402_1005Metric,C25744,5
10n,"C11,C12,C15,C16,C19",C_0402_1005Metric,C15195,5
10n,"C27,C28,C4,C5",C_0805_2012Metric,C1710,4
10u,"C26,C3",C_1206_3216Metric,C13585,2
12k,R9,R_0402_1005Metric,C25752,1
1k,"R20,R21",R_0402_1005Metric,C11702,2
1k,"R1,R2,R30,R31",R_0805_2012Metric,C17513,4
1k,"RN1,RN2,RN3,RN4",R_Array_Convex_4x0603,C20197,4
1n,C6,C_0402_1005Metric,C1523,1
1n,C23,C_0805_2012Metric,C46653,1
1u,C24,C_0805_2012Metric,C28323,1
1u,"C10,C13,C17,C18,C20,C21,C22",C_0402_1005Metric,C52923,7
2.2k,R6,R_0402_1005Metric,C25879,1
4.7k,"R25,R26,R27,R28,R34",R_0805_2012Metric,C17673,5
470n,C7,C_0402_1005Metric,C47339,1
47p,"C29,C30,C33,C34",C_0805_2012Metric,C14857,4
68k,R15,R_0402_1005Metric,C36871,1
74HC02,U5,SOIC-14_3.9x8.7mm_P1.27mm,C5588,1
D_Schottky,"D2,D3,D4,D5,D6,D7,D8,D9",D_SMA,C8678,8
FGD3040G2-F085,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",TO-252-2,C606124,8
Fuse,F1,Fuseholder_Blade_Mini_Keystone_3568,C5249699,1
LED,D1,LED_0603_1608Metric,C72043,1
MAX9142,U7,SOIC-8_3.9x4.9mm_P1.27mm,C18567,1
MAX9924,U10,MSOP-10_3x3mm_P0.5mm,C143633,1
MCP6004,U6,TSSOP-14_4.4x5mm_P0.65mm,C50282,1
Molex_112_643330100,J1,Molex_112_643330100,C293656,1
NC7SB3157P6X,"U8,U9",SOT-363_SC-70-6,C36533657,2
NUP2105L,"D10,D11",SOT-23,C284104,2
P1x16,"J10,J11,J6,J7,J8,J9",header_loc,C350305,6
P1x5,"J12,J13",header_loc,C50950,2
SRV05-4,U4,SOT-23-6,C85364,1
TJA1051T-3,"U20,U21",SOIC-8_3.9x4.9mm_P1.27mm,C38695,2
TLE9201SG,"U15,U3",Infineon_PG-DSO-12-9,C112633,2
USB_B,J4,BMM-USB,C46392,1
VNL5090,"U11,U12,U13,U14,U16,U17,U18,U19",SOT-223,C2680415,8
f042_wideband_module,U1,f042_wideband_module,,1
f042_wideband_module,U2,f042_wideband_module,,1
